image_path,true_label,predicted_label
data/test\0\18716_right-600.jpg,0,0
data/test\0\18719_right-600.jpg,0,0
data/test\0\18723_right-600.jpg,0,0
data/test\0\18729_left-600.jpg,0,0
data/test\0\18741_left-600.jpg,0,0
data/test\0\18747_left-600.jpg,0,0
data/test\0\18756_left-600.jpg,0,0
data/test\0\18764_left-600.jpg,0,0
data/test\0\18766_left-600.jpg,0,0
data/test\0\18777_right-600.jpg,0,0
data/test\0\18784_right-600.jpg,0,0
data/test\0\18787_right-600.jpg,0,0
data/test\0\18882_left-600.jpg,0,0
data/test\0\18886_left-600.jpg,0,0
data/test\0\18893_right-600.jpg,0,0
data/test\0\18903_left-600.jpg,0,0
data/test\0\21630_right-600.jpg,0,0
data/test\0\21636_right-600.jpg,0,0
data/test\0\21638_left-600.jpg,0,0
data/test\0\21652_right-600.jpg,0,0
data/test\0\21655_left-600.jpg,0,0
data/test\0\21656_left-600.jpg,0,0
data/test\0\2166_left-600.jpg,0,0
data/test\0\21678_left-600.jpg,0,0
data/test\0\21685_left-600.jpg,0,0
data/test\0\21693_right-600.jpg,0,0
data/test\0\2169_right-600.jpg,0,0
data/test\0\216_left-600.jpg,0,0
data/test\0\21712_right-600.jpg,0,0
data/test\0\21713_right-600.jpg,0,0
data/test\0\2171_left-600.jpg,0,0
data/test\0\21724_right-600.jpg,0,0
data/test\0\21730_right-600.jpg,0,0
data/test\0\21745_right-600.jpg,0,0
data/test\0\21748_right-600.jpg,0,0
data/test\0\2174_right-600.jpg,0,0
data/test\0\21759_left-600.jpg,0,0
data/test\0\21773_right-600.jpg,0,0
data/test\0\21779_left-600.jpg,0,0
data/test\0\21780_left-600.jpg,0,0
data/test\0\21782_right-600.jpg,0,0
data/test\0\21789_right-600.jpg,0,0
data/test\0\21793_left-600.jpg,0,0
data/test\0\21798_right-600.jpg,0,0
data/test\0\21815_left-600.jpg,0,0
data/test\0\21820_left-600.jpg,0,0
data/test\0\21821_right-600.jpg,0,0
data/test\0\21826_left-600.jpg,0,0
data/test\0\21831_left-600.jpg,0,0
data/test\0\21833_right-600.jpg,0,0
data/test\0\21834_right-600.jpg,0,0
data/test\0\21839_left-600.jpg,0,0
data/test\0\21849_left-600.jpg,0,0
data/test\0\21855_right-600.jpg,0,0
data/test\0\21857_left-600.jpg,0,0
data/test\0\22013_right-600.jpg,0,0
data/test\0\24293_right-600.jpg,0,0
data/test\0\24304_left-600.jpg,0,0
data/test\0\24304_right-600.jpg,0,0
data/test\0\24321_left-600.jpg,0,0
data/test\0\24328_left-600.jpg,0,0
data/test\0\2432_left-600.jpg,0,0
data/test\0\24331_left-600.jpg,0,0
data/test\0\24335_left-600.jpg,0,0
data/test\0\24350_left-600.jpg,0,0
data/test\0\24352_right-600.jpg,0,0
data/test\0\24355_left-600.jpg,0,0
data/test\0\2435_left-600.jpg,0,0
data/test\0\24366_right-600.jpg,0,0
data/test\0\2436_left-600.jpg,0,0
data/test\0\24372_left-600.jpg,0,0
data/test\0\24477_left-600.jpg,0,0
data/test\0\24493_right-600.jpg,0,0
data/test\0\24523_right-600.jpg,0,0
data/test\0\24527_right-600.jpg,0,0
data/test\0\24537_left-600.jpg,0,0
data/test\0\24544_left-600.jpg,0,0
data/test\0\24544_right-600.jpg,0,0
data/test\0\24546_right-600.jpg,0,0
data/test\0\24548_left-600.jpg,0,0
data/test\0\26244_left-600.jpg,0,0
data/test\0\26260_left-600.jpg,0,0
data/test\0\26263_right-600.jpg,0,0
data/test\0\26264_right-600.jpg,0,0
data/test\0\26265_left-600.jpg,0,0
data/test\0\26265_right-600.jpg,0,0
data/test\0\2626_right-600.jpg,0,0
data/test\0\26274_left-600.jpg,0,0
data/test\0\2633_right-600.jpg,0,0
data/test\0\2636_left-600.jpg,0,0
data/test\0\26371_left-600.jpg,0,0
data/test\0\26376_left-600.jpg,0,0
data/test\0\26383_left-600.jpg,0,0
data/test\0\2638_left-600.jpg,0,0
data/test\0\26406_right-600.jpg,0,0
data/test\0\26413_left-600.jpg,0,0
data/test\0\26416_right-600.jpg,0,0
data/test\0\26421_left-600.jpg,0,0
data/test\0\26426_right-600.jpg,0,0
data/test\0\2642_right-600.jpg,0,0
data/test\0\26444_left-600.jpg,0,0
data/test\0\26461_left-600.jpg,0,0
data/test\0\26462_left-600.jpg,0,0
data/test\0\26465_left-600.jpg,0,0
data/test\0\26471_right-600.jpg,0,0
data/test\0\26478_right-600.jpg,0,0
data/test\0\26480_left-600.jpg,0,0
data/test\0\26484_right-600.jpg,0,0
data/test\0\26493_right-600.jpg,0,0
data/test\0\26499_left-600.jpg,0,0
data/test\0\26589_left-600.jpg,0,0
data/test\0\26592_left-600.jpg,0,0
data/test\0\27239_left-600.jpg,0,0
data/test\0\27248_left-600.jpg,0,0
data/test\0\2724_left-600.jpg,0,0
data/test\0\27250_left-600.jpg,0,0
data/test\0\27250_right-600.jpg,0,0
data/test\0\27255_left-600.jpg,0,0
data/test\0\27256_left-600.jpg,0,0
data/test\0\27256_right-600.jpg,0,0
data/test\0\27273_right-600.jpg,0,0
data/test\0\27277_right-600.jpg,0,0
data/test\0\2727_left-600.jpg,0,0
data/test\0\27280_right-600.jpg,0,0
data/test\0\27282_left-600.jpg,0,0
data/test\0\27288_left-600.jpg,0,0
data/test\0\27292_left-600.jpg,0,0
data/test\0\27332_right-600.jpg,0,0
data/test\0\27338_right-600.jpg,0,0
data/test\0\27343_left-600.jpg,0,0
data/test\0\27343_right-600.jpg,0,0
data/test\0\27353_right-600.jpg,0,0
data/test\0\27357_left-600.jpg,0,0
data/test\0\27387_right-600.jpg,0,0
data/test\0\27412_right-600.jpg,0,0
data/test\0\27417_right-600.jpg,0,0
data/test\0\27422_left-600.jpg,0,0
data/test\0\27423_right-600.jpg,0,0
data/test\0\27429_left-600.jpg,0,0
data/test\0\27433_right-600.jpg,0,0
data/test\0\27449_right-600.jpg,0,0
data/test\0\27458_right-600.jpg,0,0
data/test\0\27468_right-600.jpg,0,0
data/test\0\27476_right-600.jpg,0,0
data/test\0\33467_left-600.jpg,0,0
data/test\0\33468_right-600.jpg,0,0
data/test\0\33473_left-600.jpg,0,0
data/test\0\33476_left-600.jpg,0,0
data/test\0\33478_right-600.jpg,0,0
data/test\0\33480_left-600.jpg,0,0
data/test\0\33496_right-600.jpg,0,0
data/test\0\3349_left-600.jpg,0,0
data/test\0\33502_left-600.jpg,0,0
data/test\0\33511_right-600.jpg,0,0
data/test\0\33513_right-600.jpg,0,0
data/test\0\3354_left-600.jpg,0,0
data/test\0\33553_right-600.jpg,0,0
data/test\0\33554_right-600.jpg,0,0
data/test\0\33559_right-600.jpg,0,0
data/test\0\33567_left-600.jpg,0,0
data/test\0\33587_right-600.jpg,0,0
data/test\0\33592_right-600.jpg,0,0
data/test\0\33593_right-600.jpg,0,0
data/test\0\33599_right-600.jpg,0,0
data/test\0\33609_right-600.jpg,0,0
data/test\0\33619_left-600.jpg,0,0
data/test\0\3364_left-600.jpg,0,0
data/test\0\336_left-600.jpg,0,0
data/test\0\33726_right-600.jpg,0,0
data/test\0\33756_left-600.jpg,0,0
data/test\0\3375_left-600.jpg,0,0
data/test\0\33769_right-600.jpg,0,0
data/test\0\33780_left-600.jpg,0,0
data/test\0\33815_right-600.jpg,0,0
data/test\0\33831_left-600.jpg,0,0
data/test\0\338326891d84-600.jpg,0,0
data/test\0\33844_left-600.jpg,0,0
data/test\0\33844_right-600.jpg,0,0
data/test\0\33855_right-600.jpg,0,0
data/test\0\33856_left-600.jpg,0,0
data/test\0\33861_left-600.jpg,0,0
data/test\0\33866_left-600.jpg,0,0
data/test\0\33868_right-600.jpg,0,0
data/test\0\3386_left-600.jpg,0,0
data/test\0\33875_right-600.jpg,0,0
data/test\0\33882_left-600.jpg,0,0
data/test\0\3388_left-600.jpg,0,0
data/test\0\33915_right-600.jpg,0,0
data/test\0\3391_left-600.jpg,0,0
data/test\0\33924_left-600.jpg,0,0
data/test\0\33955_left-600.jpg,0,0
data/test\0\33970_right-600.jpg,0,0
data/test\0\33978_left-600.jpg,0,0
data/test\0\33979_left-600.jpg,0,0
data/test\0\33986_left-600.jpg,0,0
data/test\0\33988_left-600.jpg,0,0
data/test\0\33991_left-600.jpg,0,0
data/test\0\33993_left-600.jpg,0,0
data/test\0\33993_right-600.jpg,0,0
data/test\0\33997_right-600.jpg,0,0
data/test\0\33d72035c27a-600.jpg,0,0
data/test\0\34001_left-600.jpg,0,0
data/test\0\34004_left-600.jpg,0,0
data/test\0\34005_right-600.jpg,0,0
data/test\0\34013_right-600.jpg,0,0
data/test\0\34019_right-600.jpg,0,0
data/test\0\34190_right-600.jpg,0,0
data/test\0\34195_right-600.jpg,0,0
data/test\0\34220_right-600.jpg,0,0
data/test\0\34223_left-600.jpg,0,0
data/test\0\34236_left-600.jpg,0,0
data/test\0\34238_left-600.jpg,0,0
data/test\0\34240_left-600.jpg,0,0
data/test\0\34247_right-600.jpg,0,0
data/test\0\34254_right-600.jpg,0,0
data/test\0\34256_left-600.jpg,0,0
data/test\0\35339_right-600.jpg,0,0
data/test\0\35346_right-600.jpg,0,0
data/test\0\35353_right-600.jpg,0,0
data/test\0\35358_right-600.jpg,0,0
data/test\0\35374_right-600.jpg,0,0
data/test\0\35375_right-600.jpg,0,0
data/test\0\35376_left-600.jpg,0,0
data/test\0\35385_right-600.jpg,0,0
data/test\0\35392_left-600.jpg,0,0
data/test\0\35399_left-600.jpg,0,0
data/test\0\35401_right-600.jpg,0,0
data/test\0\35405_right-600.jpg,0,0
data/test\0\35410_right-600.jpg,0,0
data/test\0\35420_left-600.jpg,0,0
data/test\0\35424_right-600.jpg,0,0
data/test\0\35447_right-600.jpg,0,0
data/test\0\35453_right-600.jpg,0,0
data/test\0\35458_left-600.jpg,0,0
data/test\0\35478_right-600.jpg,0,0
data/test\0\35491_left-600.jpg,0,0
data/test\0\3549_left-600.jpg,0,0
data/test\0\354_right-600.jpg,0,0
data/test\0\35507_right-600.jpg,0,0
data/test\0\35518_left-600.jpg,0,0
data/test\0\35518_right-600.jpg,0,0
data/test\0\35520_right-600.jpg,0,0
data/test\0\35525_left-600.jpg,0,0
data/test\0\35550_right-600.jpg,0,0
data/test\0\35558_right-600.jpg,0,0
data/test\0\35562_left-600.jpg,0,0
data/test\0\35574_left-600.jpg,0,0
data/test\0\35576_left-600.jpg,0,0
data/test\0\355_right-600.jpg,0,0
data/test\0\35624_right-600.jpg,0,0
data/test\0\35633_right-600.jpg,0,0
data/test\0\35638_right-600.jpg,0,0
data/test\0\35642_left-600.jpg,0,0
data/test\0\35642_right-600.jpg,0,0
data/test\0\35643_right-600.jpg,0,0
data/test\0\35657_left-600.jpg,0,0
data/test\0\35666_left-600.jpg,0,0
data/test\0\35677_left-600.jpg,0,0
data/test\0\35680_left-600.jpg,0,0
data/test\0\35687_left-600.jpg,0,0
data/test\0\35690_right-600.jpg,0,0
data/test\0\35695_left-600.jpg,0,0
data/test\0\35697_right-600.jpg,0,0
data/test\0\35700_left-600.jpg,0,0
data/test\0\35700_right-600.jpg,0,0
data/test\0\35712_right-600.jpg,0,0
data/test\0\35715_right-600.jpg,0,0
data/test\0\35723_right-600.jpg,0,0
data/test\0\35725_left-600.jpg,0,0
data/test\0\35738_left-600.jpg,0,0
data/test\0\3573_right-600.jpg,0,0
data/test\0\35750_right-600.jpg,0,0
data/test\0\35752_right-600.jpg,0,0
data/test\0\35754_right-600.jpg,0,0
data/test\0\35768_right-600.jpg,0,0
data/test\0\35774_left-600.jpg,0,0
data/test\0\35777_right-600.jpg,0,0
data/test\0\35780_right-600.jpg,0,0
data/test\0\35783_right-600.jpg,0,0
data/test\0\35791_left-600.jpg,0,0
data/test\0\35791_right-600.jpg,0,0
data/test\0\35921_right-600.jpg,0,0
data/test\0\35924_right-600.jpg,0,0
data/test\0\35928_left-600.jpg,0,0
data/test\0\35930_left-600.jpg,0,0
data/test\0\35938_right-600.jpg,0,0
data/test\0\35946_left-600.jpg,0,0
data/test\0\35948_right-600.jpg,0,0
data/test\0\35954_left-600.jpg,0,0
data/test\0\35986_left-600.jpg,0,0
data/test\0\35987_left-600.jpg,0,0
data/test\0\35992_right-600.jpg,0,0
data/test\0\35999_right-600.jpg,0,0
data/test\0\36000_left-600.jpg,0,0
data/test\0\36003_left-600.jpg,0,0
data/test\0\36011_right-600.jpg,0,0
data/test\0\36266_right-600.jpg,0,0
data/test\0\36269_right-600.jpg,0,0
data/test\0\36273_left-600.jpg,0,0
data/test\0\36279_left-600.jpg,0,0
data/test\0\36290_left-600.jpg,0,0
data/test\0\36293_right-600.jpg,0,0
data/test\0\36299_left-600.jpg,0,0
data/test\0\36304_left-600.jpg,0,0
data/test\0\36318_left-600.jpg,0,0
data/test\0\36326_left-600.jpg,0,0
data/test\0\36328_right-600.jpg,0,0
data/test\0\36332_left-600.jpg,0,0
data/test\0\36343_left-600.jpg,0,0
data/test\0\36348_right-600.jpg,0,0
data/test\0\3638_left-600.jpg,0,0
data/test\0\3650_right-600.jpg,0,0
data/test\0\36511_right-600.jpg,0,0
data/test\0\36517_left-600.jpg,0,0
data/test\0\36520_left-600.jpg,0,0
data/test\0\36521_left-600.jpg,0,0
data/test\0\36524_right-600.jpg,0,0
data/test\0\36527_left-600.jpg,0,0
data/test\0\3652_right-600.jpg,0,0
data/test\0\36532_left-600.jpg,0,0
data/test\0\36533_right-600.jpg,0,0
data/test\0\36536_right-600.jpg,0,0
data/test\0\3653_left-600.jpg,0,0
data/test\0\36545_left-600.jpg,0,0
data/test\0\36555_left-600.jpg,0,0
data/test\0\36565_left-600.jpg,0,0
data/test\0\36573_left-600.jpg,0,0
data/test\0\36575_left-600.jpg,0,0
data/test\0\36578_right-600.jpg,0,0
data/test\0\3657_right-600.jpg,0,0
data/test\0\36590_left-600.jpg,0,0
data/test\0\3659_right-600.jpg,0,0
data/test\0\36602_left-600.jpg,0,0
data/test\0\36616_left-600.jpg,0,0
data/test\0\36616_right-600.jpg,0,0
data/test\0\36626_left-600.jpg,0,0
data/test\0\36641_left-600.jpg,0,0
data/test\0\36645_left-600.jpg,0,0
data/test\0\36652_right-600.jpg,0,0
data/test\0\36757_right-600.jpg,0,0
data/test\0\36758_left-600.jpg,0,0
data/test\0\36772_right-600.jpg,0,0
data/test\0\36781_right-600.jpg,0,0
data/test\0\36794_left-600.jpg,0,0
data/test\0\3816_left-600.jpg,0,0
data/test\0\38273_right-600.jpg,0,0
data/test\0\38280_left-600.jpg,0,0
data/test\0\38285_left-600.jpg,0,0
data/test\0\3828_left-600.jpg,0,0
data/test\0\38298_left-600.jpg,0,0
data/test\0\38300_left-600.jpg,0,0
data/test\0\38304_left-600.jpg,0,0
data/test\0\38304_right-600.jpg,0,0
data/test\0\38305_left-600.jpg,0,0
data/test\0\38305_right-600.jpg,0,0
data/test\0\38313_right-600.jpg,0,0
data/test\0\38314_left-600.jpg,0,0
data/test\0\38314_right-600.jpg,0,0
data/test\0\3831_right-600.jpg,0,0
data/test\0\38328_right-600.jpg,0,0
data/test\0\38330_right-600.jpg,0,0
data/test\0\38337_right-600.jpg,0,0
data/test\0\38346_left-600.jpg,0,0
data/test\0\38348_left-600.jpg,0,0
data/test\0\3834_left-600.jpg,0,0
data/test\0\38355_right-600.jpg,0,0
data/test\0\38361_right-600.jpg,0,0
data/test\0\38367_right-600.jpg,0,0
data/test\0\38381_left-600.jpg,0,0
data/test\0\38383_left-600.jpg,0,0
data/test\0\38384_left-600.jpg,0,0
data/test\0\38385_left-600.jpg,0,0
data/test\0\38388_right-600.jpg,0,0
data/test\0\38396_left-600.jpg,0,0
data/test\0\3839_left-600.jpg,0,0
data/test\0\38400_right-600.jpg,0,0
data/test\0\38405_left-600.jpg,0,0
data/test\0\38409_right-600.jpg,0,0
data/test\0\38480_right-600.jpg,0,0
data/test\0\38485_left-600.jpg,0,0
data/test\0\38485_right-600.jpg,0,0
data/test\0\38488_right-600.jpg,0,0
data/test\0\38491_right-600.jpg,0,0
data/test\0\38492_left-600.jpg,0,0
data/test\0\38494_right-600.jpg,0,0
data/test\0\38497_left-600.jpg,0,0
data/test\0\38500_right-600.jpg,0,0
data/test\0\38503_left-600.jpg,0,0
data/test\0\38507_right-600.jpg,0,0
data/test\0\38523_left-600.jpg,0,0
data/test\0\38524_left-600.jpg,0,0
data/test\0\38524_right-600.jpg,0,0
data/test\0\38927_right-600.jpg,0,0
data/test\0\38938_left-600.jpg,0,0
data/test\0\3893_right-600.jpg,0,0
data/test\0\389_left-600.jpg,0,0
data/test\0\38_right-600.jpg,0,0
data/test\0\390_left-600.jpg,0,0
data/test\0\39119_right-600.jpg,0,0
data/test\0\39125_left-600.jpg,0,0
data/test\0\3912_left-600.jpg,0,0
data/test\0\3912_right-600.jpg,0,0
data/test\0\39142_right-600.jpg,0,0
data/test\0\39144_right-600.jpg,0,0
data/test\0\39148_left-600.jpg,0,0
data/test\0\39153_left-600.jpg,0,0
data/test\0\39157_right-600.jpg,0,0
data/test\0\39159_left-600.jpg,0,0
data/test\0\39162_right-600.jpg,0,0
data/test\0\39165_left-600.jpg,0,0
data/test\0\3916_right-600.jpg,0,0
data/test\0\39170_left-600.jpg,0,0
data/test\0\39175_right-600.jpg,0,0
data/test\0\3917_right-600.jpg,0,0
data/test\0\39197_left-600.jpg,0,0
data/test\0\39200_left-600.jpg,0,0
data/test\0\39235_left-600.jpg,0,0
data/test\0\3923_right-600.jpg,0,0
data/test\0\39246_left-600.jpg,0,0
data/test\0\39246_right-600.jpg,0,0
data/test\0\39249_right-600.jpg,0,0
data/test\0\39251_right-600.jpg,0,0
data/test\0\39256_left-600.jpg,0,0
data/test\0\39262_left-600.jpg,0,0
data/test\0\39264_right-600.jpg,0,0
data/test\0\39267_right-600.jpg,0,0
data/test\0\39380_left-600.jpg,0,0
data/test\0\39385_right-600.jpg,0,0
data/test\0\39388_right-600.jpg,0,0
data/test\0\39389_right-600.jpg,0,0
data/test\0\39390_right-600.jpg,0,0
data/test\0\39392_right-600.jpg,0,0
data/test\0\39396_right-600.jpg,0,0
data/test\0\39399_right-600.jpg,0,0
data/test\0\39412_right-600.jpg,0,0
data/test\0\39413_left-600.jpg,0,0
data/test\0\39416_right-600.jpg,0,0
data/test\0\39424_right-600.jpg,0,0
data/test\0\39432_left-600.jpg,0,0
data/test\0\39434_left-600.jpg,0,0
data/test\0\39896_right-600.jpg,0,0
data/test\0\39898_left-600.jpg,0,0
data/test\0\39902_left-600.jpg,0,0
data/test\0\39903_left-600.jpg,0,0
data/test\0\39913_right-600.jpg,0,0
data/test\0\39919_right-600.jpg,0,0
data/test\0\39921_left-600.jpg,0,0
data/test\0\39926_left-600.jpg,0,0
data/test\0\39950_left-600.jpg,0,0
data/test\0\39958_right-600.jpg,0,0
data/test\0\39959_right-600.jpg,0,0
data/test\0\39961_right-600.jpg,0,0
data/test\0\39964_right-600.jpg,0,0
data/test\0\39982_right-600.jpg,0,0
data/test\0\3998_left-600.jpg,0,0
data/test\0\3998_right-600.jpg,0,0
data/test\0\39995_left-600.jpg,0,0
data/test\0\399_right-600.jpg,0,0
data/test\0\40006_left-600.jpg,0,0
data/test\0\4000_left-600.jpg,0,0
data/test\0\40024_right-600.jpg,0,0
data/test\0\4002_left-600.jpg,0,0
data/test\0\4002_right-600.jpg,0,0
data/test\0\40072_left-600.jpg,0,0
data/test\0\40074_right-600.jpg,0,0
data/test\0\40075_right-600.jpg,0,0
data/test\0\40079_right-600.jpg,0,0
data/test\0\40081_left-600.jpg,0,0
data/test\0\40083_left-600.jpg,0,0
data/test\0\40098_left-600.jpg,0,0
data/test\0\40102_right-600.jpg,0,0
data/test\0\40106_right-600.jpg,0,0
data/test\0\40109_right-600.jpg,0,0
data/test\0\40112_left-600.jpg,0,0
data/test\0\40119_left-600.jpg,0,0
data/test\0\40134_right-600.jpg,0,0
data/test\0\40153_right-600.jpg,0,0
data/test\0\40154_right-600.jpg,0,0
data/test\0\40160_left-600.jpg,0,0
data/test\0\40162_right-600.jpg,0,0
data/test\0\4016_right-600.jpg,0,0
data/test\0\40175_left-600.jpg,0,0
data/test\0\40177_left-600.jpg,0,0
data/test\0\40179_right-600.jpg,0,0
data/test\0\4018_left-600.jpg,0,0
data/test\0\40192_right-600.jpg,0,0
data/test\0\40193_right-600.jpg,0,0
data/test\0\40209_left-600.jpg,0,0
data/test\0\40209_right-600.jpg,0,0
data/test\0\40211_left-600.jpg,0,0
data/test\0\40226_left-600.jpg,0,0
data/test\0\40230_right-600.jpg,0,0
data/test\0\40238_left-600.jpg,0,0
data/test\0\40244_left-600.jpg,0,0
data/test\0\40247_right-600.jpg,0,0
data/test\0\40248_right-600.jpg,0,0
data/test\0\40282_right-600.jpg,0,0
data/test\0\40287_left-600.jpg,0,0
data/test\0\40288_right-600.jpg,0,0
data/test\0\40300_right-600.jpg,0,0
data/test\0\40302_right-600.jpg,0,0
data/test\0\40310_left-600.jpg,0,0
data/test\0\40311_right-600.jpg,0,0
data/test\0\40315_left-600.jpg,0,0
data/test\0\4031_right-600.jpg,0,0
data/test\0\4032_right-600.jpg,0,0
data/test\0\40334_right-600.jpg,0,0
data/test\0\40350_right-600.jpg,0,0
data/test\0\40362_right-600.jpg,0,0
data/test\0\40364_left-600.jpg,0,0
data/test\0\40377_right-600.jpg,0,0
data/test\0\40383_right-600.jpg,0,0
data/test\0\40393_right-600.jpg,0,0
data/test\0\40396_left-600.jpg,0,0
data/test\0\40409_left-600.jpg,0,0
data/test\0\40418_right-600.jpg,0,0
data/test\0\40420_right-600.jpg,0,0
data/test\0\40434_left-600.jpg,0,0
data/test\0\40434_right-600.jpg,0,0
data/test\0\40437_left-600.jpg,0,0
data/test\0\40446_right-600.jpg,0,0
data/test\0\40447_left-600.jpg,0,0
data/test\0\40467_left-600.jpg,0,0
data/test\0\40474_right-600.jpg,0,0
data/test\0\40475_left-600.jpg,0,0
data/test\0\404_right-600.jpg,0,0
data/test\0\40503_left-600.jpg,0,0
data/test\0\4050_left-600.jpg,0,0
data/test\0\40513_left-600.jpg,0,0
data/test\0\40516_right-600.jpg,0,0
data/test\0\40524_left-600.jpg,0,0
data/test\0\40530_right-600.jpg,0,0
data/test\0\40531_left-600.jpg,0,0
data/test\0\40539_right-600.jpg,0,0
data/test\0\40540_right-600.jpg,0,0
data/test\0\40541_right-600.jpg,0,0
data/test\0\40542_right-600.jpg,0,0
data/test\0\40543_right-600.jpg,0,0
data/test\0\40555_right-600.jpg,0,0
data/test\0\40560_left-600.jpg,0,0
data/test\0\40577_left-600.jpg,0,0
data/test\0\4057_right-600.jpg,0,0
data/test\0\40589_right-600.jpg,0,0
data/test\0\40600_right-600.jpg,0,0
data/test\0\40607_right-600.jpg,0,0
data/test\0\40608_left-600.jpg,0,0
data/test\0\40610_left-600.jpg,0,0
data/test\0\40620_right-600.jpg,0,0
data/test\0\40634_right-600.jpg,0,0
data/test\0\40638_left-600.jpg,0,0
data/test\0\40646_right-600.jpg,0,0
data/test\0\40650_left-600.jpg,0,0
data/test\0\40669_left-600.jpg,0,0
data/test\0\40671_right-600.jpg,0,0
data/test\0\40682_left-600.jpg,0,0
data/test\0\40695_right-600.jpg,0,0
data/test\0\40697_left-600.jpg,0,0
data/test\0\40699_left-600.jpg,0,0
data/test\0\40704_left-600.jpg,0,0
data/test\0\40713_right-600.jpg,0,0
data/test\0\40726_right-600.jpg,0,0
data/test\0\40727_right-600.jpg,0,0
data/test\0\40730_left-600.jpg,0,0
data/test\0\40737_right-600.jpg,0,0
data/test\0\40741_left-600.jpg,0,0
data/test\0\40758_right-600.jpg,0,0
data/test\0\4075_left-600.jpg,0,0
data/test\0\40772_left-600.jpg,0,0
data/test\0\40776_left-600.jpg,0,0
data/test\0\40778_right-600.jpg,0,0
data/test\0\40789_left-600.jpg,0,0
data/test\0\40794_left-600.jpg,0,0
data/test\0\40826_left-600.jpg,0,0
data/test\0\40833_right-600.jpg,0,0
data/test\0\40834_right-600.jpg,0,0
data/test\0\40837_left-600.jpg,0,0
data/test\0\40850_left-600.jpg,0,0
data/test\0\40850_right-600.jpg,0,0
data/test\0\40854_right-600.jpg,0,0
data/test\0\40861_left-600.jpg,0,0
data/test\0\40878_right-600.jpg,0,0
data/test\0\40879_left-600.jpg,0,0
data/test\0\40880_right-600.jpg,0,0
data/test\0\40881_right-600.jpg,0,0
data/test\0\41386_left-600.jpg,0,0
